Card_Name,Number,Suit,Upright_1,Upright_2,Upright_3,Upright_4,Upright_5,Upright_6,Upright_7,Upright_8,Upright_9,Upright_10,Upright_11,Upright_12,Reversed_1,Reversed_2,Reversed_3,Reversed_4,Reversed_5,Reversed_6,Reversed_7,Reversed_8,Reversed_9,Reversed_10,Reversed_11,Reversed_12
The Fool,0,Major Arcana,initiation,openness,invitation,innocence,threshold,possibility,entry,naivety,trust,momentum,potential,unanchored,recklessness,disruption,avoidance,naivety,resistance,stalling,disconnection,refusal,immaturity,unreliability,escapism,groundlessness
The Magician,I,Major Arcana,activation,agency,direction,channelling,initiative,orchestration,persuasion,shaping,focus,mastery,assertion,catalysing,manipulation,misdirection,overreach,deception,controlling,withholding,bluffing,undermining,deflection,hollow,coercion,sabotage
The High Priestess,II,Major Arcana,withholding,depth,asymmetry,mirroring,reserve,discernment,mystery,receptivity,witness,patience,knowing,threshold,concealment,inaccessibility,opacity,withdrawal,guardedness,absence,secrecy,evasion,suppression,distance,blocking,unknowability
The Empress,III,Major Arcana,nurturing,generosity,abundance,embodiment,welcoming,sustaining,growth,warmth,cultivation,receptivity,fertility,enveloping,smothering,depletion,withholding,dependence,stagnation,over-giving,possessiveness,neglect,barrenness,control,enmeshment,draining
The Emperor,IV,Major Arcana,structuring,authority,stabilising,protection,ordering,holding,establishing,grounding,boundary,governance,reliability,anchoring,rigidity,domination,inflexibility,control,tyranny,obstruction,suppression,overreach,resistance,imposition,unmovability,hardening
The Hierophant,V,Major Arcana,transmission,mediation,initiating,belonging,sanctioning,gatekeeping,formalising,guiding,contextualising,legitimising,bridging,consecrating,dogmatism,exclusion,conformity,restriction,gatekeeping,rigidity,suppression,orthodoxy,alienation,prohibition,hierarchy,entrenchment
The Lovers,VI,Major Arcana,alignment,choosing,resonance,intimacy,integration,polarity,commitment,mirroring,attraction,bonding,discernment,wholeness,misalignment,avoidance,splitting,conflict,indecision,disconnection,incompatibility,projection,tension,ambivalence,fracture,estrangement
The Chariot,VII,Major Arcana,driving,overcoming,directing,propulsion,willpower,momentum,controlling,advancing,harnessing,conviction,determination,mastery,aggression,forcing,collision,stalling,overriding,bulldozing,loss-of-control,resistance,derailing,recklessness,rigidity,imposing
Strength,VIII,Major Arcana,steadying,patience,gentling,influencing,containing,endurance,compassion,persuasion,softening,resilience,taming,presence,dominance,suppression,fear,coercion,volatility,pushing,forcing,submission,overpower,brittleness,exhaustion,aggression
The Hermit,IX,Major Arcana,withdrawal,illuminating,guiding,reflecting,distancing,discerning,solitude,offering,witnessing,pointing,clarifying,separating,isolation,withholding,disconnection,hiding,exile,refusal,unavailability,retreat,avoidance,opacity,withdrawal,self-enclosure
Wheel of Fortune,X,Major Arcana,turning,shifting,cyclicality,timing,fatedness,momentum,transition,chance,revolving,connecting,contextualising,arriving,stagnation,resistance,delay,misalignment,bad-timing,repetition,entrapment,missing,circling,obstruction,reversal,friction
Justice,XI,Major Arcana,equalising,accountability,weighing,clarifying,adjudicating,truth-telling,balancing,consequence,impartiality,deciding,aligning,discerning,bias,avoidance,evasion,imbalance,denial,distortion,unfairness,deflection,obscuring,complicity,inequity,blame
The Hanged Man,XII,Major Arcana,suspending,surrendering,reframing,pausing,offering,waiting,releasing,shifting,yielding,witnessing,inversing,stillness,resistance,martyrdom,stalling,clinging,withholding,refusing,rigidity,sacrifice,blocking,inertia,avoidance,self-denial
Death,XIII,Major Arcana,ending,transforming,releasing,clearing,severance,transition,composting,completing,stripping,closing,passing,unburdening,clinging,resistance,denial,stagnation,avoidance,prolonging,holding-on,suppression,fear,refusing,blocking,entrenchment
Temperance,XIV,Major Arcana,moderating,integrating,flowing,bridging,alchemising,harmonising,mediating,blending,adjusting,calibrating,tempering,patience,excess,imbalance,forcing,discord,disruption,clashing,rushing,rigidity,volatility,incompatibility,destabilising,friction
The Devil,XV,Major Arcana,binding,entangling,tempting,shadowing,revealing,exposing,entrapping,mirroring,seducing,compelling,magnetising,anchoring,releasing,breaking-free,exposing,facing,unbinding,clarity,detachment,liberation,confronting,naming,surfacing,refusing
The Tower,XVI,Major Arcana,rupture,catalyst,exposure,destabilisation,confrontation,severance,disruption,revelation,collapse,shock,forcing,clearing,withholding,preemption,deflection,suppression,bracing,circling,avoiding,containing,delaying,resisting,internalising,absorbing
The Star,XVII,Major Arcana,restoring,opening,offering,renewal,vulnerability,hope,reconnecting,healing,generosity,possibility,softening,trusting,withdrawal,closing,despair,disconnection,withholding,guarding,doubt,brittleness,contraction,pessimism,distancing,hardening
The Moon,XVIII,Major Arcana,distorting,projecting,amplifying,obscuring,dreaming,illuding,reflecting,unsettling,confusing,deepening,haunting,veiling,clarity,surfacing,facing,grounding,exposure,revealing,dispersing,sobering,unmasking,resolving,waking,demystifying
The Sun,XIX,Major Arcana,illuminating,warming,radiating,energising,clarity,vitality,celebrating,affirming,opening,generosity,simplifying,revealing,overshadowing,overwhelming,burning,glaring,hiding,dimming,deflating,blinding,excess,cooling,obscuring,diminishing
Judgement,XX,Major Arcana,summoning,awakening,calling,reckoning,transforming,releasing,rising,evaluating,responding,completing,answering,activating,avoidance,denial,suppression,self-judgement,resistance,ignoring,silencing,refusing,stagnation,guilt,blocking,inertia
The World,XXI,Major Arcana,completing,integrating,arriving,fulfilling,containing,enclosing,celebrating,synthesising,consolidating,closing,manifesting,wholeness,incompletion,withholding,resistance,stagnation,delay,fragmentation,avoidance,unfinished,scattering,blocking,circling,denial
Ace of Wands,Ace,Wands,igniting,initiating,inspiring,activating,offering,energising,catalysing,sparking,propelling,inviting,animating,awakening,withholding,blocking,dampening,resisting,stalling,suppressing,losing-momentum,hesitating,deflating,snuffing,withdrawing,inertia
Two of Wands,2,Wands,anticipating,planning,projecting,holding,surveying,choosing,extending,considering,preparing,visioning,positioning,stretching,hesitation,stalling,fear,narrowing,retreating,indecision,clinging,shortsightedness,resistance,withholding,shrinking,limiting
Three of Wands,3,Wands,expanding,waiting,launching,extending,projecting,anticipating,committing,investing,outreaching,forethought,building,horizon-watching,delay,frustration,shortsightedness,retreating,obstruction,miscalculation,withdrawal,impatience,narrowing,halting,stalling,retreat
Four of Wands,4,Wands,celebrating,welcoming,anchoring,consolidating,gathering,marking,affirming,grounding,uniting,stabilising,homecoming,completing,instability,conflict,disruption,displacement,tension,unsettled,withholding,friction,incompletion,disconnection,resistance,scattered
Five of Wands,5,Wands,contending,competing,disrupting,challenging,testing,stimulating,asserting,clashing,energising,friction,provoking,jostling,avoidance,suppression,internalising,peacekeeping,deflecting,capitulating,backing-down,tension,withholding,simmering,passivity,evasion
Six of Wands,6,Wands,triumphing,leading,inspiring,receiving,advancing,affirming,modelling,acknowledging,raising,elevating,recognition,energising,arrogance,deflating,undermining,jealousy,overshadowing,comparison,collapsing,withdrawal,diminishing,self-doubt,exclusion,envy
Seven of Wands,7,Wands,defending,holding,persisting,asserting,standing-firm,resisting,maintaining,upholding,guarding,confronting,challenging,advocating,capitulating,overwhelm,exhaustion,backing-down,conceding,withdrawing,giving-in,vulnerability,exposure,collapse,submission,retreat
Eight of Wands,8,Wands,accelerating,transmitting,propelling,advancing,arriving,communicating,directing,rushing,aligning,converging,delivering,activating,delay,scattering,misdirection,collision,halting,fragmenting,confusion,misalignment,obstruction,missing,overload,dispersion
Nine of Wands,9,Wands,holding,bracing,enduring,guarding,persisting,vigilance,tenacity,protecting,wariness,resilience,defending,steadying,paranoia,rigidity,exhaustion,over-defending,fear,suspicion,closing,hypervigilance,brittleness,withdrawal,burnout,isolation
Ten of Wands,10,Wands,carrying,burdening,delivering,overextending,shouldering,persisting,completing,absorbing,struggling,transporting,labouring,driving,collapsing,dropping,refusing,delegating,releasing,surrendering,unburdening,avoidance,overwhelm,breaking,stagnation,resistance
Page of Wands,Page,Wands,exploring,messaging,probing,inspiring,questioning,adventuring,signalling,reporting,enthusiasm,animating,initiating,curious,recklessness,immaturity,misdirecting,scattered,unreliable,impulsive,disrupting,distracted,over-eager,rushing,superficial,losing-focus
Knight of Wands,Knight,Wands,charging,pursuing,energising,advancing,pioneering,propelling,inspiring,rushing,igniting,driving,adventuring,leading,recklessness,impulsiveness,burning,volatility,forcing,aggression,unsettling,scattering,overreach,disrupting,collision,abandoning
Queen of Wands,Queen,Wands,radiating,inspiring,magnetising,leading,energising,commanding,warming,encouraging,activating,embodying,holding-space,presence,dominance,intimidation,burning,volatility,overshadowing,controlling,demanding,exhausting,jealousy,imposing,withholding,manipulation
King of Wands,King,Wands,visioning,directing,commanding,inspiring,driving,leading,delegating,mobilising,energising,shaping,mentoring,catalysing,tyranny,recklessness,forcing,domination,volatility,impatience,overreach,controlling,burning,rigidity,dismissing,imposing
Ace of Cups,Ace,Cups,offering,opening,welcoming,receiving,overflow,invitation,depth,connection,vulnerability,love,renewal,beginning,withholding,closing,guarding,suppression,blocking,retreat,emotional-unavailability,denial,isolation,shutting,refusal,hardening
Two of Cups,2,Cups,bonding,recognising,mirroring,aligning,connecting,committing,resonating,partnering,meeting,affirming,exchanging,equalising,misalignment,rupture,withdrawal,disconnection,conflict,incompatibility,rejection,estrangement,imbalance,pulling-away,severing,friction
Three of Cups,3,Cups,alliance,triangulation,witnessing,including,solidarity,amplifying,celebrating,gathering,communing,affirming,elevating,joy,exclusion,faction,rivalry,displacement,overcrowding,dilution,jealousy,isolation,clique,outsider,sidelining,competition
Four of Cups,4,Cups,withdrawing,contemplating,ignoring,turning-inward,reassessing,resisting,withholding,considering,refusing,pausing,disconnecting,introspection,opening,receiving,re-engaging,returning,accepting,noticing,emerging,reconsidering,awakening,welcoming,reconnecting,softening
Five of Cups,5,Cups,grieving,lamenting,withdrawing,fixating,mourning,turning-away,loss,dwelling,regretting,receding,suffering,holding-absence,returning,recovering,noticing,emerging,redirecting,releasing,turning-toward,rebuilding,accepting,softening,reopening,healing
Six of Cups,6,Cups,offering,remembering,returning,gifting,reconnecting,evoking,sharing,nostalgising,innocence,generosity,revisiting,reviving,clinging,idealising,regressing,avoiding,sentimentalising,refusing,living-in-past,projecting,resisting,retreating,dependency,romanticising
Seven of Cups,7,Cups,projecting,imagining,fantasising,multiplying,confusing,dreaming,dispersing,overwhelming,illusion,scattering,avoiding,dissolving,clarifying,grounding,choosing,focusing,sobering,committing,narrowing,deciding,reality-checking,anchoring,simplifying,concentrating
Eight of Cups,8,Cups,leaving,releasing,turning-away,withdrawing,searching,abandoning,seeking,walking-away,receding,departing,disengaging,questing,returning,clinging,staying,stagnating,avoiding,withholding-departure,entrapment,postponing,rationalising,suppressing,excusing,inability-to-leave
Nine of Cups,9,Cups,satisfying,completing,offering,fulfilling,holding,radiating,containing,self-sufficient,celebrating,resting,abundance,welcoming,withholding,smugness,self-satisfaction,over-indulgence,isolation,excluding,hoarding,complacency,gloating,closing,inflexibility,detachment
Ten of Cups,10,Cups,fulfilling,completing,uniting,harmonising,celebrating,including,building,anchoring,affirming,sharing,belonging,radiating,disruption,facade,tension,fractured,idealising,excluding,hiding,pretending,fragmentation,underlying-conflict,disconnection,incompletion
Page of Cups,Page,Cups,receiving,offering,surprising,intuiting,dreaming,signalling,opening,sensing,imagining,conveying,vulnerability,curiosity,emotional-immaturity,manipulation,over-sensitivity,moodiness,deception,naivety,unreliability,avoidance,fantasising,clinginess,confusion,projection
Knight of Cups,Knight,Cups,pursuing,offering,romancing,questing,following-feeling,approaching,proposing,inviting,advancing,opening,courting,offering,idealisation,disappointment,moodiness,withdrawal,manipulation,over-romanticising,avoidance,seduction,unreliability,escapism,projection,illusion
Queen of Cups,Queen,Cups,holding,empathising,receiving,containing,witnessing,nurturing,mirroring,listening,sensing,offering-depth,compassion,sustaining,enmeshment,over-absorption,codependency,loss-of-self,manipulation,martyrdom,projection,smothering,blurring,vulnerability,over-sensitivity,suffocating
King of Cups,King,Cups,containing,moderating,wisdom,steadying,holding-space,balancing,counselling,grounding-emotion,guiding,mediating,anchoring,compassion,emotional-manipulation,repression,volatility,withdrawal,coldness,controlling,distancing,suppression,passive-aggression,inaccessibility,disconnection,withholding
Ace of Swords,Ace,Swords,cutting,clarifying,offering-truth,breakthrough,penetrating,exposing,activating,incising,truth-telling,naming,assertion,revealing,confusion,misdirection,weaponising,harshness,blocking,denial,suppression,distorting,silencing,withholding-truth,muddying,overload
Two of Swords,2,Swords,stalling,deadlock,blocking,avoiding,balancing,holding-off,protecting,withdrawing,waiting,guarding,suspending,standoff,forcing,confronting,removing-blindfold,facing,exposing,deciding,breaking-impasse,imposing,rushing,disrupting,overriding,destabilising
Three of Swords,3,Swords,piercing,severing,exposing,clarifying,rupturing,naming-pain,truth-telling,cutting-through,wounding,releasing,confronting,separating,suppression,avoidance,prolonging,closing-over,holding-grief,internalising,denial,reopening,ruminating,festering,refusing,burying
Four of Swords,4,Swords,resting,withdrawing,recovering,integrating,stillness,pausing,healing,containing,processing,retreating,incubating,waiting,forcing,resuming-prematurely,disrupting-rest,refusing-rest,stagnation,isolation,avoidance,withholding,suppression,restlessness,inertia,inability-to-pause
Five of Swords,5,Swords,defeating,taking,winning-at-cost,humiliating,dominating,collecting,exposing,leaving-behind,conflict,overriding,claiming,dismissing,releasing,surrendering,reconciliation,acknowledging-cost,backing-down,restoring,repair,conceding,humility,returning,reconnecting,forgiving
Six of Swords,6,Swords,transitioning,guiding,moving,releasing,crossing,carrying,leading-through,distancing,recovering,departing,supporting,navigating,stalling,resistance,clinging,unable-to-leave,returning,reverting,suppression,denial,avoidance,pulling-back,delaying,backtracking
Seven of Swords,7,Swords,evading,strategising,taking,withholding,scouting,testing,outsmarting,extracting,bypassing,manoeuvring,concealing,slipping-away,exposure,confrontation,returning,confession,accountability,being-caught,revealing,honesty,reckoning,transparency,admission,surfacing
Eight of Swords,8,Swords,binding,trapping,limiting,blinding,isolating,confining,restricting,silencing,containing,paralysing,immobilising,blocking,releasing,liberating,removing-blindfold,breaking-free,questioning,empowering,expanding,clarity,escaping,unblocking,moving,confronting
Nine of Swords,9,Swords,catastrophising,projecting,spiralling,awaken-in-fear,amplifying,disturbing,tormenting,isolating,feeding,haunting,perseverating,overwhelming,grounding,soothing,reality-checking,calming,releasing,dawn,lightening,reassurance,support,diminishing,context,comforting
Ten of Swords,10,Swords,ending,bottoming-out,completing,releasing,collapsing,clearing,surrendering,exhausting,finalising,exposing,culminating,breaking,avoiding,prolonging,refusing-end,dramatising,clinging,recovery,beginning,resisting-closure,repeating,denying,rebuilding,refusing-bottom
Page of Swords,Page,Swords,questioning,investigating,probing,watching,alerting,signalling,testing,communicating,reporting,challenging,observing,scrutinising,gossiping,stirring,prying,misinformation,over-analysis,suspicion,mischief,spying,undermining,deflecting,manipulation,interference
Knight of Swords,Knight,Swords,charging,cutting-through,advancing,confronting,asserting,challenging,driving,breaking-through,truth-seeking,rushing,exposing,disrupting,recklessness,aggression,haste,cruelty,over-cutting,forcing,collateral-damage,impulsiveness,harshness,blindness,volatility,overreaching
Queen of Swords,Queen,Swords,discerning,perceiving,truth-telling,clarifying,cutting-through,deciding,witnessing,naming,independence,wisdom,sharpening,honest,coldness,harshness,cruelty,isolation,cutting-off,over-precision,detachment,withholding,severity,dismissiveness,brittleness,judgement
King of Swords,King,Swords,adjudicating,commanding,clarifying,directing,deciding,authorising,establishing,truth-holding,leading,structuring,ordering,pronouncing,tyranny,coldness,imposing,domination,rigidity,detachment,severity,inflexibility,overriding,harshness,judgement,authoritarianism
Ace of Pentacles,Ace,Pentacles,offering,grounding,seeding,manifesting,beginning,materialising,providing,establishing,anchoring,initiating,gifting,concretising,withholding,loss,instability,stalling,blocking,scarcity,missed-opportunity,hesitation,depletion,denial,suppression,ungrounded
Two of Pentacles,2,Pentacles,balancing,juggling,adapting,managing,flexing,holding-tension,navigating,adjusting,mediating,prioritising,sustaining,modulating,dropping,overwhelm,losing-balance,rigidity,failing-to-prioritise,destabilising,scattering,collapse,chaos,avoidance,forcing,imbalance
Three of Pentacles,3,Pentacles,collaborating,building,contributing,integrating,crafting,consulting,combining,planning,coordinating,acknowledging,co-creating,elevating,isolation,undermining,conflict,discord,rivalry,withholding,working-alone,dismissing,rejecting-input,ego,competition,fragmentation
Four of Pentacles,4,Pentacles,holding,protecting,securing,containing,maintaining,stabilising,guarding,preserving,anchoring,consolidating,hoarding,controlling,releasing,generosity,opening,sharing,loss,instability,scarcity,letting-go,vulnerability,displacement,insecurity,ungrounding
Five of Pentacles,5,Pentacles,exclusion,loss,struggle,isolating,lacking,withdrawing,hardship,passing-by,disconnection,suffering,marginalising,cold,receiving-help,inclusion,recovery,support,relief,returning,reconnecting,acceptance,rebuilding,resourcefulness,community,finding-shelter
Six of Pentacles,6,Pentacles,giving,receiving,distributing,balancing,generosity,power-exchange,sharing,rewarding,offering,equalising,sustaining,measuring,withholding,imbalance,debt,exploitation,dependency,control,strings-attached,power-over,unequal,stinginess,manipulation,owing
Seven of Pentacles,7,Pentacles,assessing,waiting,reviewing,pausing,investing,tending,measuring,considering,patience,contemplating,reflecting,harvesting,impatience,abandoning,early-exit,undervaluing,dissatisfaction,giving-up,distraction,short-sightedness,abandonment,over-harvesting,rushing,poor-timing
Eight of Pentacles,8,Pentacles,crafting,refining,dedicating,practising,building,improving,focusing,mastering,contributing,developing,concentrating,diligence,perfectionism,drudgery,isolating,narrow-focus,loss-of-meaning,obsession,missing-the-bigger-picture,withholding,over-specialising,burnout,rigidity,grinding
Nine of Pentacles,9,Pentacles,enjoying,self-sufficiency,cultivating,achieving,abundance,independence,savouring,containing,refining,owning,completing,flourishing,isolation,over-dependence,precarity,losing,superficiality,showing-off,withholding,instability,loss,vulnerability,exclusion,fragility
Ten of Pentacles,10,Pentacles,completing,establishing,securing,building-legacy,gathering,connecting-generations,sustaining,rooting,including,affirming,consolidating,inheriting,disruption,conflict,loss,instability,fracture,inheritance-dispute,exclusion,breaking-tradition,displacement,undermining,fragmentation,disinheritance
Page of Pentacles,Page,Pentacles,studying,grounding,initiating,signalling-opportunity,practical,planning,researching,beginning,tending,learning,focusing,observing,unreliability,impracticality,delay,unfocused,over-caution,slowness,missing-opportunity,daydreaming,stalling,avoidance,inertia,lacking-follow-through
Knight of Pentacles,Knight,Pentacles,persisting,building,methodical,steady,reliable,delivering,committed,thorough,plodding,consistent,maintaining,practical,stubbornness,stagnation,inflexibility,drudgery,slowness,obsession,rigidity,boredom,over-caution,grinding,inability-to-pivot,resistance
Queen of Pentacles,Queen,Pentacles,nurturing,providing,grounding,sustaining,managing,welcoming,practical-care,cultivating,containing,abundance,security,mothering,smothering,over-practicality,neglect,hoarding,over-involvement,material-focus,possessiveness,dependency,withholding,controlling,scarcity,depletion
King of Pentacles,King,Pentacles,providing,securing,leading,building,managing,sustaining,generating,anchoring,protecting,investing,mastering,consolidating,materialism,controlling,corruption,greed,stagnation,over-possession,misuse-of-resources,domination,inflexibility,withholding,hoarding,power-over
